genes,C1,C2,T1,T2
208111,1.55,1.54,0.84,1.18
208117,0,0,0.34,0.34
208144,1.38,6.69,3.72,3.04
208146,0,0.51,1.01,0.68
208151,0.69,1.54,1.52,0.68
208154,0,0,0,0.34
208158,0,0.51,0.51,0.34
208164,0.34,0,0,0
208171,0.69,0,0,0.34
208177,60.34,46.47,45.28,68.16
208194,2.93,6.17,9.29,5.41
208198,27.93,50.58,61.5,47.35
208211,13.96,7.2,5.91,6.09
208213,1.03,17.66,34.81,9.64
208228,36.03,21.6,12.67,17.59
208263,63.27,20.06,13.35,17.59
208266,7.41,5.32,5.24,5.58
208292,9.83,24.69,35.82,28.75
208366,13.62,16.63,15.38,19.11
208439,2.59,4.12,4.73,3.04
208449,16.72,6.34,5.91,10.15
208501,12.58,15.95,27.71,18.6
208518,0,0,1.01,0.51
208606,46.72,117.62,150.55,117.54
208618,10.69,2.23,1.35,2.03
208624,38.62,34.81,16.05,24.18
208628,3.45,22.98,23.15,23
208634,0.52,0,0.51,0
208638,56.2,58.81,55.42,75.94
208643,256.34,505.14,778.92,509.91
208647,8.1,3.26,3.21,3.55
208650,11.21,14.23,12.67,6.26
208659,2.76,0.34,0,1.01
208666,0,0,0.34,0
208677,10.69,0.51,0,7.27
208691,1.03,12.35,9.29,6.76
208718,12.58,29.32,40.72,29.09
208727,1.9,2.74,1.52,1.86
208748,1.03,1.71,1.01,2.03
208768,26.72,45.44,44.1,46.34
208795,18.79,2.91,4.06,4.57
208820,1.21,1.54,1.01,1.18
208836,2.59,14.92,12.84,8.12
208846,31.55,19.55,20.95,18.77
208869,0,0.51,0.84,0
208884,5.69,5.14,7.27,5.41
208890,0.34,0,0,0
208898,0,0.34,0.51,0.51
208908,0,0.51,0.34,0.51
208922,0.52,0.69,0.51,0.68
208943,0.34,2.06,1.35,1.86
208967,3.28,9.77,6.93,8.29
208968,2.76,22.63,13.18,12.68
208982,0,4.29,2.87,3.21
208990,37.24,0.86,0.84,1.69
209003,3.62,7.89,11.32,9.47
209011,16.89,5.49,5.07,3.04
209012,0.52,2.57,2.2,1.18
209018,8.27,4.8,5.74,5.41
209027,0,0.34,0,0
209032,6.21,38.41,28.89,25.2
209039,43.79,3.26,3.21,4.74
209086,13.62,0.34,0.34,0
209131,16.38,8.23,9.29,8.63
209176,0.52,1.03,0.84,0.34
209195,0.34,1.89,2.2,5.41
209200,30.86,4.46,3.04,5.24
209212,4.65,9.94,13.01,6.26
209224,4.48,5.14,3.04,2.71
209225,7.07,15.77,20.44,13.36
209232,3.28,0,0,0
209239,1.72,0.86,2.03,0.34
209268,0.34,2.57,2.53,13.87
209294,0,0,0,0.34
209318,105.16,203.53,197.01,172.51
209334,1.72,4.97,4.22,4.23
209354,79.47,69.96,89.72,68.49
209357,56.37,91.56,88.03,75.43
209361,9.14,21.95,18.92,15.9
209378,15.69,3.09,4.73,3.04
209387,1.21,0,0,0
209416,37.58,26.75,25.01,28.58
209446,14.83,12.69,9.29,10.49
209456,4.31,16.29,11.15,7.44
209462,6.72,16.29,19.94,15.05
209478,5.52,4.63,5.41,5.24
209550,0.34,0.51,0.34,0.68
209558,1.21,2.06,0.68,1.01
209584,2.76,13.03,14.53,10.32
209586,28.44,51.44,42.75,38.05
209630,18.45,46.3,49.34,44.31
209645,0,2.4,2.37,4.06
209683,1.55,7.2,3.55,4.57
209692,0.52,0,1.01,1.01
209707,3.45,6.34,7.6,6.93
209737,14.83,166.32,135,130.9
209760,8.96,4.97,2.7,1.69
209773,21.55,21.95,18.75,18.77
209815,5,3.26,3.04,1.52
209837,0.69,3.26,7.43,10.49
209966,0,2.4,0.68,0.34
210004,5.52,4.46,6.42,8.29
210009,7.41,7.37,8.28,6.93
210027,0,0.86,0.51,0.51
210029,65.85,8.92,11.15,5.92
210035,9.14,27.61,29.06,28.07
210044,1.72,0.69,0.34,0.51
210094,0,19.38,27.2,8.79
210105,5,12.35,12.67,11.67
210106,15.52,28.81,36.16,27.06
210126,25.51,16.29,17.07,21.99
210135,0.52,0.86,0.34,0.51
210146,2.59,4.63,5.07,2.03
210148,28.1,15.95,14.87,17.42
210162,0,1.37,0.51,1.18
210172,0.52,0.86,0.34,0.34
210274,0,0,0,0.34
210293,0.69,0.34,0.68,0
210297,0,8.23,13.52,5.58
210321,0,0.34,0.34,0.34
210356,0,1.71,1.35,1.01
210376,15.52,7.03,6.08,7.27
210417,0,0.86,0.84,0
210503,1.38,1.03,1.69,1.69
210510,0,0,0,0.34
210529,1.03,2.57,5.24,2.2
210530,0.86,0.69,0.51,0.68
