a,c,b,d,p,OR,X
2,66291,841,1945016,6.55E-07,0.069775444,MBD5
8,66291,12,1945016,3.79E-20,19.56038276,MBD6
1,66291,4,1945016,0.036424607,7.335143534,MBLAC1
63,66291,281,1945016,7.89E-55,6.578135838,MBNL1
2,66291,5,1945016,0.000179897,11.73622965,MBNL1-AS1
52,66291,357,1945016,1.49E-26,4.273697073,MBNL2
1,66291,218,1945016,0.01859653,0.13458979,MBOAT1
7,66291,224,1945016,0.821114706,0.916892942,MBOAT2
2,66291,23,1945016,0.187693977,2.551354273,MBOAT7
33,66291,195,1945016,3.34E-21,4.965327931,MBP
1,66291,107,1945016,0.167718404,0.274210973,MBTD1
4,66291,5,1945016,4.70E-12,23.47245931,MC1R
2,66291,542,1945016,0.000130491,0.108267801,MCC
2,66291,298,1945016,0.010747935,0.196916605,MCF2L2
